"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"MOD302";"AM2302_Naked_H";1;"AM2302";;;
2;"IC401";"TQFP-64_14x14mm_Pitch0.8mm";1;"ATXMEGA128A3U-A";;;
3;"P402";"Pin_Header_Straight_2x03";1;"PDI";;;
4;"C206";"C_1210_HandSoldering";1;"4n7";;;
5;"MOD301";"nRF24L01";1;"NRF24L01";;;
6;"Q301";"SOT-23_Handsoldering";1;"Q_PMOS_GSD";;;
7;"CON201";"USB_Mini-B_mod";1;"USB-MINI-B";;;
8;"U201";"SOT-223";1;"NCP1117ST33T3G";;;
9;"C201,C203,C204,C401,C403,C404,C405,C406,C402";"C_1210_HandSoldering";9;"C";;;
10;"D401,D202";"LED_1206";2;"LED";;;
11;"R201,R401";"R_1206_HandSoldering";2;"330R";;;
12;"R202";"R_1206_HandSoldering";1;"1M";;;
13;"R301";"R_1206_HandSoldering";1;"100R";;;
14;"R302";"R_1206_HandSoldering";1;"100k";;;
15;"P401";"Pin_Header_Straight_1x09";1;"PORT B";;;
16;"P201";"pt_1,5-4-3,5-h";1;"CONN_4";;;
17;"SW401";"SW_Tactile_SPST_Angled";1;"RESET";;;
18;"SW402";"SW_Tactile_SPST_Angled";1;"FLIP";;;
19;"JP201";"Pin_Header_Straight_1x02";1;"JUMPER";;;
20;"P202";"pt_1,5-2-3,5-h";1;"CONN_2";;;
21;"D201";"MiniMELF_Handsoldering";1;"D_Schottky";;;
22;"P403,P404,P405,P406,P407";"SolderWirePad_single_0-8mmDrill";5;"CONN_1";;;
23;"C202,C301,C302";"TantalC_SizeB_EIA-3528_HandSoldering";3;"10u";;;
24;"C205";"TantalC_SizeB_EIA-3528_HandSoldering";1;"22u";;;
