"Id";"Znacznik";"Obudowa";"Ilość";"Oznaczenie";"Dostawca i numer artykułu";
1;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"via_0.6mm";30;"via_0.6mm";;;
2;"C201,C204,C206,C207,C301,C302,C303,C304,C305,C306,C401,C404,C501,C502,C503,C504,C505,C506,C508";"C_1206_HandSoldering";19;"100n";;;
3;"C202,C203";"C_1206_HandSoldering";2;"22p";;;
4;"C205,C208,C402,C403,C509,C510";"TantalC_SizeB_EIA-3528_HandSoldering";6;"10u";;;
5;"C307";"TantalC_SizeB_EIA-3528_HandSoldering";1;"22u";;;
6;"D201,D301,D302,D501";"Diode-MiniMELF_Handsoldering";4;"D";;;
7;"D303,D304";"LED-1206";2;"LED";;;
8;"IC201";"DIP-40_W15.24mm_LongPads";1;"ATMEGA1284-P";;;
9;"L201";"Neosid_Inductor_SM-NE45_SMD1812";1;"10u";;;
10;"MOD501";"AM2302_Socket_H";1;"DHT22";;;
11;"MOD502";"DIP-8_W7.62mm_LongPads";1;"23LCV1024-I/P";;;
12;"MOD503";"DS3231_Socket_H";1;"DS3231";;;
13;"MOD504";"nRF24L01";1;"nRF24L01";;;
14;"MOD505";"BMP180_Socket_H";1;"BMP180";;;
15;"MOD506";"XPort";1;"XPort";;;
16;"P401";"Pin_Header_Angled_1x02";1;"CONN_01X02";;;
17;"Q401,Q501,Q502";"SOT-23_Handsoldering";3;"BSS138";;;
18;"R201";"R_1206_HandSoldering";1;"330R";;;
19;"R202,R405,R406,R501,R502,R503,R504,R506,R507,R508";"R_1206_HandSoldering";10;"10k";;;
20;"R401";"R_1206_HandSoldering";1;"160R";;;
21;"R402";"R_1206_HandSoldering";1;"100k";;;
22;"R403";"R_1206_HandSoldering";1;"10R";;;
23;"R404";"R_1206_HandSoldering";1;"0R";;;
24;"R505";"R_1206_HandSoldering";1;"300R";;;
25;"RESET201,RESET501";"SW_Tactile_SPST_Angled";2;"SW_PUSH";;;
26;"RV401";"Potentiometer_Bourns_3296W_3-8Zoll_Inline_ScrewUp";1;"POT";;;
27;"SUP301";"DC2_Socket_H";1;"AMBM_DC2";;;
28;"SUP302";"DC2_Socket_H";1;"AMBM_DCN01";;;
29;"U301";"SOT-223";1;"LT1129CST-3.3";;;
30;"U401,U402";"DIP-14_W7.62mm_LongPads";2;"74LS393";;;
31;"U403";"DIP-32_W15.24mm_LongPads";1;"MS628128";;;
32;"U404";"DIP-4_W7.62mm_LongPads";1;"PC817";;;
33;"Y201";"Crystal_HC49-U_Horizontal_Typ1";1;"Crystal";;;
34;"R301";"R_1206_HandSoldering";1;"1k5";;;
35;"R302";"R_1206_HandSoldering";1;"820R";;;
36;"P402";"Socket_Strip_Angled_1x15";1;"CONN_01X15";;;
37;"ISP201";"Pin_Header_Angled_2x03";1;"CONN_02X03";;;
38;"P501";"Pin_Header_Angled_1x03";1;"CONN_01X03";;;
39;"P202,P201";"Pin_Header_Angled_1x01";2;"CONN_01X01";;;
40;"P301";"PINHEAD1-2";1;"CONN_01X02";;;
